〆	sime
敲	noboru
整	hitosi
整	osamu
整	sei
整	tadasi
敵	kataki
敵	teki
敷	siki
文	aya
文	bun
文	humi
文	kazari
文	mon
斉	hisasi
斉	hitosi
斉	ituki
斉	sai
斌	akira
斌	bin
斌	hin
斌	takesi
斎	hitosi
斎	ituki
斎	sai
斎	toki
斐	aya
斑	buti
斑	hu
斑	madara
斑	mura
斗	to
料	ryou
斜	hasu
斤	kin
斧	ono
斬	ki
断	dan
断	kotowa
新	ara
新	arai
新	arata
新	atarasi
新	nii
新	simura
新	sin
方	bou
方	gata
方	hou
方	kata
方	pou
方	tamotu
施	si
旁	tukuri
旅	tabi
旅	taya
族	yakara
族	zoku
旗	hata
旗	ki
既	ki
既	sunde
日	bi
日	hi
日	ka
日	nit
日	niti
日	pi
旦	asa
旦	dan
旦	tan
旧	huru
旧	kyuu
旨	mune
旨	uma
早	baya
早	haya
早	sou
旬	hitosi
旬	syun
旬	zyun
旭	akira
旭	asahi
旭	kyoku
旭	syou
旱	hideri
旺	ou
旻	akira
旻	min
旻	takasi
昂	akira
昂	kou
昂	noboru
昂	taka
昂	takasi
昆	kon
昇	nobo
昇	nobori
昇	noboru
昇	syou
昊	hirosi
昌	akira
昌	atusi
昌	masa
昌	masaru
昌	masasi
昌	sakayu
昌	syou
昌	yosi
明	aka
明	akari
明	aki
明	akira
明	haru
明	mei
明	min
昏	kura
易	eki
易	osamu
易	yasu
昔	mukasi
星	bosi
星	hosi
星	sei
星	sin
映	aki
映	ei
映	teru
映	utu
春	haru
春	hazime
春	syun
春	tyun
昧	kura
昨	saku
昭	aki
昭	akira
昭	syou
是	tadasi
是	ze
昴	subaru
昶	akira
昼	hiru
晁	akira
時	doki
時	sin
時	toki
時	zi
晃	akira
晃	hikaru
晃	kou
晃	noboru
晄	akira
晉	sin
晉	susumu
晋	sin
晋	sinzi
晋	susumu
晏	oso
晒	sarasi
晟	akira
晢	akira
晦	miso
晦	tugomori
晧	akira
晨	sin
晩	ban
晩	oso
普	amane
普	hirosi
普	hu
普	sin
景	kei
晴	hare
晴	haru
晴	sei
晶	aki
晶	akira
晶	hikari
晶	syou
智	akira
智	sato
智	satoru
智	satosi
智	tomo
智	tosi
暁	akatuki
暁	aki
暁	akira
暁	gyou
暁	satoru
暁	satosi
暇	hima
暇	itoma
暈	kasa
暉	akira
暉	hikaru
暉	ki
暑	atu
暖	dan
暗	kura
暢	noberu
暢	nobi
暢	nobu
暢	tooru
暦	koyomi
暦	reki
暮	kure
暹	noboru
曄	akira
曇	kumori
曉	akatuki
曉	akira
曉	satoru
曉	syou
曖	kura
曙	akebono
曙	akira
曜	you
曲	kuse
曲	kyoku
曲	magari
更	kou
更	sara
書	humi
書	kaki
書	syo
曹	sou
曻	noboru
曼	naga
曽	so
曾	sou
替	kawa
最	makoto
最	sai
月	duki
月	gatu
月	getu
月	tuki
月	zuki
有	a
有	tamotu
有	yuu
朋	tomo
朋	yukari
服	huku
朔	saku
朔	tuitati
朕	tin
朗	akira
朗	rou
望	madoka
望	mituru
望	moti
望	noboru
望	nozomi
望	nozomu
朝	asa
朝	asita
朝	tomo
朝	tyou
期	ki
朧	oboro
木	ki
木	moku
木	sunao
未	hidemi
未	hituzi
未	mi
末	matu
末	sue
本	bon
本	hon
本	moto
本	pon
札	huda
札	sane
札	satu
朮	okera
朮	ukera
朱	aka
朱	akari
朱	ake
朱	akemi
朱	syu
朴	boku
朴	hou
朴	paku
朸	ougo
机	dukue
机	tukue
机	zukue
杁	eburi
杉	sugi
李	i
李	ri
李	sumomo
杏	an
杏	anzu
杏	karamomo
杏	kyou
材	zai
村	mura
村	son
杓	hisyaku
杓	syaku
杖	tue
杙	kui
杙	kuize
杜	dou
杜	mori
杜	to
束	soku
束	taba
束	tuka
束	tukane
杠	yuzuriha
条	zyou
杢	moku
杣	soma
来	ki
来	ko
来	rai
杭	kui
杯	bai
杯	hai
杯	pai
杰	zie
東	aduma
東	akira
東	azuma
東	hazime
東	higasi
東	noboru
東	tou
杵	kine
杼	hi
松	matu
板	ban
板	ita
枕	makura
林	hayasi
林	imu
林	rin
枚	mai
果	hate
枝	eda
枠	baku
枠	paku
枠	waku
枡	masu
枢	kururu
枢	toboso
架	ka
枷	kase
柁	kazi
柄	e
柄	gara
柄	tuka
柊	hiiragi
柏	kase
柏	kasiwa
某	bou
某	nanigasi
某	soregasi
染	soma
染	some
柔	yakko
柔	yawa
柔	yawara
柘	tuge
柚	yuzu
柩	hitugi
柱	basira
柱	hasira
柱	kotozi
柱	pasira
柳	ryuu
柳	yanadi
柳	yanagi
柳	yanazi
柳	yuu
柴	siba
柵	saku
柵	sigarami
柾	masaki
柿	kagi
柿	kaki
栂	toga
栂	tuga
栃	toti
栄	ei
栄	hisasi
栄	ron
栄	sakae
栄	sigeru
栓	sen
栖	sumika
栗	kuri
栗	riti
栗	ritu
栞	siori
校	kou
栢	kasiwa
栢	kaya
株	kabu
栫	kakoi
栲	tae
核	kaku
根	kon
根	ne
格	itaru
格	kaku
格	tadasi
格	tutomu
桁	keta
桂	katura
桂	kei
桃	momo
框	kamati
案	an
桐	kiri
桐	tou
桑	kuwa
桜	sakura
桧	hinoki
桶	oke
梁	hari
梁	ryou
梁	yana
梃	teko
梅	bai
梅	ume
梓	adusa
梓	azusa
梔	kutinasi
梛	nagi
條	zyou
梟	hukurou
梢	kozue
梢	syou
梨	nasi
梯	hasigo
梯	kakehasi
梱	kori
梳	kezu
梳	kusikezu
梵	soyogi
梶	kazi
梺	humoto
棉	wata
棒	bou
棒	sasage
棗	natume
棘	odoro
棘	toge
棚	tana
棚	tano
棟	mune
棟	ton
棟	tou
森	mori
森	sigeru
森	sin
棹	sao
棺	hitugi
棺	kan
椀	ban
椀	pan
椀	wan
椈	buna
椋	muku
椋	mukunoki
椋	ryou
植	syoku
植	taturu
植	ue
椎	sii
椒	hazikami
椚	kunugi
椛	momizi
検	ken
椴	todo
椴	todomatu
椹	sawara
椿	tubaki
楊	yan
楊	you
楓	huu
楓	kaede
楔	kusabi
楙	sigeru
楚	suwae
楠	kusu
楠	kusunoki
楠	nan
楡	nire
楢	nara
楪	yuzuriha
楫	kazi
業	gou
業	gyou
業	waza
楮	kouzi
楮	kouzo
楮	kouzu
楯	tate
楯	tati
極	goku
極	kiwamu
極	kyoku
楼	rou
楽	gaku
楽	raku
楽	tanosi
概	gai
榊	sagaki
榊	sakaki
榎	eno
榎	enoki
榕	you
榛	hasibami
榧	kaya
榮	ei
榮	sakae
榾	hota
槁	keyaki
槇	maki
槌	tuti
槍	sou
槍	yari
槐	enzi
槐	enzyu
槐	saikati
槓	kan
様	sama
様	you
槙	maki
槲	kasiwa
槻	keyaki
槻	tuki
槽	sou
樅	momi
樊	han
樋	hi
樋	toi
樒	sikimi
樗	buna
樗	outi
標	hyou
標	simegi
標	sirube
樟	kunugi
樟	kusu
樟	kusunoki
模	katagi
模	mo
権	gon
権	hazime
権	ken
権	kon
横	yoko
樫	kasi
樵	kikori
樸	siraki
樹	ituki
樹	ki
樹	miki
樹	tatuki
樹	zyu
樺	kaba
樽	taru
橇	sori
橋	basi
橋	hasi
橋	kyou
橘	kiti
橘	kitu
橘	tatibana
橙	daidai
機	hata
機	ki
機	takumi
橡	toti
橿	kasi
檀	dan
檄	geki
檜	hinoki
檻	ori
櫂	kai
櫃	hitu
櫓	ro
櫓	yagura
櫛	kusi
櫟	itii
櫟	kunugi
櫨	haze
櫻	sakura
欄	ran
欅	keyaki
欅	kunugi
欝	utu
欠	kake
欠	ketu
次	tugi
次	zi
欣	kin
欣	kon
欣	motomu
欣	sin
欧	ou
欲	hot
欲	yoku
欽	kin
欽	kon
款	yosimi
歌	ka
歌	uta
歐	ou
歓	yorokobi
止	toma
止	tome
正	akira
正	masa
正	masasi
正	sei
正	syou
正	tadasi
正	tadasu
武	bu
武	isamu
武	take
武	takeru
武	takesi
武	u
歩	ayu
歩	ayumi
歩	ayumu
歩	bo
歩	bu
歩	ho
歩	hu
歩	po
歩	susumu
歪	hizumi
歪	ibitu
歯	ha
歯	si
歯	yowa
歳	sai
歳	tosi
歴	he
歴	reki
死	si
殆	hotondo
殉	zyun
殊	koto
残	noko
残	zan
殴	nagu
段	dan
殷	in
殺	ya
殻	kaku
殻	kara
殿	dono
殿	singari
殿	tono
毅	atusi
毅	gou
毅	kiyosi
毅	kowasi
毅	takasi
毅	takeru
毅	takesi
毅	tuyo
毅	tuyosi
母	haha
毎	goto
毎	mai
毒	doku
比	hi
比	huiripin
毛	ke
毛	mou
毟	musi
毬	iga
毬	kasa
毬	mari
毳	keba
氏	si
氏	uzi
民	min
民	tami
気	ge
気	ki
氣	ki
水	mizu
水	sui
氷	bin
氷	hyou
氷	koo
氷	koori
永	ei
永	hisasi
永	naga
汀	migiwa
汀	nagisa
汀	tei
汁	siru
汁	tuyu
汁	ziru
求	motome
求	motomu
汎	hiro
汎	hirosi
汐	seki
汐	sio
汐	usio
汗	ase
汚	kitana
汝	nanzi
江	e
江	kou
池	ike
池	ti
汪	hirosi
汪	ou
汲	kumi
決	ket
決	ketu
決	kima
決	sadamu
沈	sin
沈	tin
沌	kura
沓	kutu
沖	oki
沙	isago
沙	suna
沙	sya
没	bot
没	botu
沢	sawa
沢	taku
沫	awa
河	kawa
沸	nie
油	abura
油	yu
治	haru
治	isao
治	nao
治	osamu
治	ti
沼	numa
泉	idumi
泉	izumi
泉	sen
泉	simizu
泊	baku
泊	haku
泊	paku
泊	toma
泊	tomari
法	hou
法	minori
泡	awa
波	ba
波	bo
波	ha
波	nami
波	pa
泥	doro
注	tyuu
泪	namida
泯	min
泰	hirosi
泰	itaru
泰	tae
泰	tai
泰	tooru
泰	yasu
泰	yasusi
泰	yutaka
洋	hiro
洋	hiromi
洋	hirosi
洋	hukasi
洋	you
洌	kiyosi
洗	arai
洛	raku
洞	hora
洟	hana
津	tu
洩	mo
洪	hirosi
洪	hon
洪	kou
洲	sima
洲	su
洲	syuu
洵	makoto
洵	zyun
洸	akira
洸	kou
洸	takesi
活	katu
洽	amane
洽	hirosi
派	ba
派	ha
派	pa
流	nagare
流	ryuu
浄	kiyo
浄	kiyosi
浄	zyou
浅	asa
浜	hama
浦	ura
浩	gou
浩	hiro
浩	hirosi
浩	kou
浩	yutaka
浪	nami
浬	kairi
浴	eki
浴	yoku
海	hai
海	hirosi
海	kai
海	marin
海	umi
海	wataru
浸	hita
消	syou
涎	yodare
涙	namida
涛	tou
液	eki
涼	ryou
涼	sayaka
涼	suzu
涼	suzuka
涼	suzumi
淀	yodo
淑	tosi
淑	yosi
淡	awa
淡	tan
淦	aka
淨	kiyosi
深	buka
深	huka
深	hukasi
深	sin
淳	aki
淳	atu
淳	atusi
淳	hirosi
淳	kiyosi
淳	makoto
淳	sunao
淳	zyun
淵	hukasi
淵	huti
淵	kata
混	ma
添	soe
清	kiyo
清	kiyosi
清	saya
清	sayaka
清	sei
清	sin
済	sumi
済	wataru
済	zumi
渉	syou
渉	wataru
渊	kata
渋	sibu
渓	kei
渕	buti
渕	huti
渕	kata
渙	kan
渙	kiyosi
渚	migiwa
渚	nagisa
減	gen
減	he
渠	mizo
渡	do
渡	wata
渡	watari
渡	wataru
渡	watasi
渥	aku
渥	atu
渦	uzu
温	atusi
温	nuku
温	nuru
温	yutaka
測	haka
港	kou
港	minato
游	yuu
渺	byou
湊	minato
湖	ko
湖	mizuumi
湛	zin
湧	yuu
湯	tou
湯	yu
湯	yuu
湾	wan
湿	sime
満	man
満	minoru
満	mitiru
満	mitu
満	mituru
源	atusi
源	gen
源	hazime
源	minamoto
準	hitosi
準	zyun
溜	tamari
溜	tame
溝	dobu
溝	mizo
溢	mituru
溥	hirosi
溯	sakanobo
滅	metu
滉	hiro
滉	hirosi
滋	sige
滋	sigeru
滋	sigesi
滑	namera
滓	kasu
滝	taki
滞	todokoo
滴	sizuku
滴	teki
滾	tagi
滿	mituru
漁	asa
漁	izari
漁	ryou
漁	sunado
漆	urusi
漏	mo
漠	baku
漠	hirosi
漢	kan
漢	otoko
漣	ren
漣	sazanami
漬	duke
漬	zuke
漲	minagi
漸	susumu
漸	utate
潔	isagiyo
潔	isao
潔	ketu
潔	kiyosi
潔	tiei
潘	han
潜	kugu
潜	mogu
潜	sen
潟	kata
潤	hirosi
潤	masaru
潤	megumu
潤	uruu
潤	yutaka
潤	zyun
潦	niwatazumi
潮	sio
潮	usio
澀	sibu
澁	sibu
澄	kiyomu
澄	kiyosi
澄	masumi
澄	sayaka
澄	sumi
澄	tooru
澗	kan
澤	sawa
澪	mio
澪	rei
澱	ori
澱	yodo
激	geki
激	zi
濁	nigo
濃	ko
濃	nou
濠	hori
濡	nure
濤	dou
濤	tou
濯	arou
濱	hama
濵	hama
濶	hirosi
濶	katu
瀏	ryuu
瀑	baku
瀕	hin
瀞	toro
瀧	taki
瀬	se
瀬	sera
灑	rei
灘	nada
火	hi
火	ka
灯	akari
灯	akasi
灯	hi
灯	tobosi
灯	tomosi
灯	tou
灰	hai
灸	kyuu
灸	yaito
災	wazawai
炉	ro
炎	en
炎	homura
炎	honoo
炒	i
炙	abu
炭	sumi
炭	tan
点	ten
点	tomo
点	tomoru
点	tomosu
為	na
為	nari
為	tame
烈	isao
烈	retu
烈	tuyosi
烏	karasu
烝	susumu
烝	zyou
烟	kemuri
烹	ni
焔	homura
焔	honoo
焙	abu
無	mu
無	na
焦	ase
焰	homura
焰	honoo
然	sika
然	zen
焼	syou
焼	yaki
煉	neri
煌	aki
煌	akira
煌	kou
煌	teru
煎	i
煎	ni
煕	hiro
煕	hirosi
煙	kemu
煙	kemuri
煤	susu
照	akira
照	syou
照	te
照	terasu
照	teru
煩	han
煩	urusa
煮	ni
煽	ahu
煽	ao
煽	oko
熈	hiro
熊	kuma
熙	hiro
熙	hirosi
熟	minori
熟	tukuduku
熟	tukuzuku
熟	zyuku
熬	i
熱	atu
熱	hote
熱	net
熱	netu
熾	oki
燎	ryou
燐	rin
燕	en
燕	tubame
燗	kan
燠	oki
燧	hikiri
燧	hiuti
燭	syoku
燻	ibusi
燿	hikari
燿	hikaru
燿	you
爆	baku
爪	tume
父	titi
爺	zii
爺	zizi
爺	zizii
爽	sayaka
爽	sou
爾	nanzi
爾	ni
爾	sika
牀	yuka
片	ben
片	hen
片	hira
片	kata
片	pen
版	ban
版	han
版	pan
牌	hi
牌	pai
牙	kiba
牛	gyuu
牛	usi
牝	mesu
牡	osu
牢	rou
牧	boku
牧	magi
牧	maki
物	butu
物	mono
特	toku
犀	sai
犁	suki
犂	suki
犬	inu
犬	ken
犯	ban
犯	han
犯	pan
状	zyou
狂	kyou
狆	tin
狐	kitune
狗	inu
狛	koma
狡	kosu
狡	zuru
狢	muzina
狩	ka
狩	kari
独	doitu
独	doku
狭	sema
狸	tanuki
狹	sema
狼	ookami
猛	mou
猛	takasi
猛	take
猛	takeki
猛	takeru
猛	takesi
猟	kari
猟	ryou
猪	ino
猪	inosisi
猫	neko
献	mitugu
猯	mami
猶	nao
猿	masira
猿	saru
獄	dake
獄	goku
獄	hitoya
獏	baku
獣	kedamono
獣	kemono
獣	sisi
獣	zyuu
獲	e
獺	kawauso
獺	oso
獺	uso
玄	gen
玄	hazime
玄	hikaru
玄	takasi
率	ritu
玉	dama
玉	gyoku
玉	tama
王	kimi
王	ou
王	wan
玲	akira
玲	rei
玲	ryou
珍	tin
珠	tama
珪	kei
班	ban
班	han
班	pan
現	gen
現	ututu
球	dama
球	kyuu
球	tama
理	aya
理	kotowa
理	kotowari
理	makoto
理	masasi
理	osamu
理	ri
理	satoru
理	satosi
理	tadasi
理	wataru
琉	ryuu
琢	migaku
琢	taku
琳	rin
琴	kin
琴	koto
瑕	kizu
瑛	akira
瑛	ei
瑛	teru
瑛	you
瑞	miduho
瑞	mizu
瑞	mizuho
瑞	sirusi
瑞	zui
瑠	ryuu
瑤	you
瑶	you
璃	aki
璃	ruri
璋	akira
環	kan
環	tamaki
環	wa
瓜	uri
瓠	hisago
瓠	hukube
瓢	hisago
瓢	hukube
瓦	kawara
瓶	bin
瓶	game
瓶	kame
甃	sikigawara
甍	iraka
甑	kosiki
甕	motai
甕	u
甘	ama
甘	uma
甚	ita
甚	zin
甜	ama
甜	uma
生	ikuru
生	ki
生	na
生	nama
生	sei
生	susumu
生	syou
生	umare
産	san
産	ubu
甥	oi
甦	yomigae
用	you
甫	hazime
田	den
田	ta
由	yosi
由	yui
由	yukari
由	yuu
甲	hazime
甲	kabuto
甲	kan
甲	kinoe
甲	kou
申	saru
申	sin
男	dan
男	nan
男	otoko
町	mati
町	tyou
画	e
画	ga
画	kaku
界	kai
界	sakai
畏	kasiko
畑	batake
畑	hata
畑	hatake
畔	aze
畔	hotori
留	toma
留	tome
畚	hugo
畚	mokko
畝	se
畝	une
畠	hata
畠	hatake
略	hobo
略	ryaku
畦	aze
畦	une
番	ban
番	tugai
畭	hari
異	aya
異	i
異	koto
畳	tatami
畳	tatou
畳	zyou
當	atari
畷	nawate
疎	so
疎	uto
疏	ara
疏	uto
疑	utagu
疔	tyou
疣	ibo
疥	hatake
疳	kan
疵	kizu
疾	haya
痂	kasabuta
病	byou
病	yamai
症	syou
痒	kayu
痔	di
痔	zi
痕	ato
痕	kon
痛	ita
痛	tuu
痣	aza
痰	tan
痼	sikori
瘡	kasa
瘡	kusa
瘤	kobu
瘧	okori
癇	kan
癌	gan
癖	heki
癖	kuse
癜	namazu
癩	kattai
癪	syaku
癰	you
癸	ki
癸	mizunoto
発	batu
発	hatu
発	hiraku
発	patu
登	minoru
登	nobo
登	nobori
登	noboru
登	tou
白	haku
白	peku
白	sira
白	siro
百	byaku
百	byat
百	hyaku
百	hyat
百	momo
百	pyaku
百	pyat
的	mato
的	teki
皆	kai
皆	mina
皆	minna
皇	kou
皇	sumeragi
皎	akira
皎	kou
皐	satuki
皓	akira
皓	hikaru
皓	kou
皓	siro
皓	siroi
皮	gawa
皮	kawa
皴	siwa
皷	tudumi
皷	tuzumi
皸	akagire
皸	hibi
皹	akagire
皹	hibi
皺	siwa
皿	sara
皿	zara
盃	sakazuki
盆	bon
盈	mituru
益	eki
益	masu
益	susumu
盗	to
盗	tou
盛	mo
盛	mori
盛	saka
盛	sakae
盛	sakari
盛	sei
盟	akira
盟	mei
盟	tikai
盤	ban
盥	tarai
盧	no
盧	ro
目	me
目	moku
盲	mekura
盲	mesii
直	nao
直	naosi
直	sunao
直	tadasi
直	tyoku
直	zika
相	ai
相	sou
相	syou
盾	tate
盾	zyun
省	sei
省	syou
眇	byou
眇	sugame
眉	mayu
看	mi
県	agata
県	ken
眞	makoto
眞	sin
眞	tadasi
真	ma
真	makoto
真	sin
真	tadasi
眠	nemu
眠	nemuri
眦	manaziri
眩	mabayu
眩	mabu
眸	hitomi
眼	manako
眼	me
着	gi
着	ki
着	tyaku
睡	nemu
督	masaru
督	susumu
督	tadasi
督	toku
睦	atusi
睦	makoto
睦	moku
睦	mutu
睦	mutumi
睫	matuge
瞑	tubu
瞑	tumu
瞬	madoka
瞬	syun
瞭	akira
瞭	ryou
瞳	akira
瞳	hitomi
瞳	tou
瞹	kura
瞼	mabuta
矇	kura
矗	nobu
矛	hoko
矢	ya
知	satoru
知	satosi
知	si
知	ti
知	tomo
矧	hagi
矩	kane
矩	nori
矩	tadasi
短	mizika
短	tan
矯	takesi
石	isi
石	koku
石	seki
砂	isago
砂	suna
砌	migiri
研	ken
砥	to
砥	togi
砦	toride
砧	kinuta
砲	hou
破	yabu
砺	arato
硬	kata
硯	suzuri
硲	hazama
碁	go
碇	igari
碇	ikari
碌	roku
碑	hi
碑	isibumi
碓	usu
碗	wan
碧	ao
碧	aoi
碧	heki
碧	midori
碩	seki
碰	pon
確	kaku
確	katasi
磊	rei
磐	iwa
磐	iwao
磔	harituke
磨	migaku
磨	osamu
磨	su
磨	togi
磬	kaoru
磯	iso
磯	ki
礎	isizue
礒	iso
礫	tubute
礼	aya
礼	rei
礼	yuki
社	sya
社	yasiro
祀	matu
祇	kami
祈	ino
祈	inori
祐	hirosi
祐	tasuku
祐	yuu
祖	so
祝	hazime
祝	houri
祝	iwai
祝	syuku
神	kami
神	kou
神	sin
神	zin
祟	tatari
祠	hokora
祥	akira
祥	sati
祥	syou
祥	yasusi
票	byou
票	hyou
票	pyou
祭	matu
祭	maturi
祭	sai
祷	ino
祷	matu
禁	kin
禄	roku
禅	zen
禊	misogi
禍	ka
禍	wazawai
禎	sada
禎	tadasi
禎	tei
福	huku
禮	rei
禮	yutaka
禱	ino
禾	ine
禾	nogi
禿	hage
禿	kaburo
禿	kamuro
禿	tibi
秀	hide
秀	hidesi
秀	hiizu
秀	masaru
秀	minoru
秀	sigeru
秀	suguru
秀	syuu
私	si
私	watakusi
私	watasi
秋	aki
秋	syuu
科	ka
科	ke
科	kou
科	sina
科	toga
秒	byou
秕	siina
秘	hi
秣	magusa
秤	hakari
秦	hada
秦	hata
秦	hirosi
秦	sin
秩	tukasa
称	home
称	syou
移	utu
移	uturi
稀	mare
程	hodo
程	nori
程	tei
税	mitugu
税	osamu
税	tikara
税	zei
稔	mino
稔	minori
稔	minoru
稔	nen
稔	tosi
稗	hie
稚	itokena
稚	osana
稜	ryou
稜	soba
稟	rin
種	syu
種	tane
稲	ina
稲	ine
稷	kibi
稿	kou
稿	wara
穀	koku
穂	ho
穂	minori
穂	minoru
穆	atusi
穆	kiyosi
積	seki
積	tumoru
積	tumu
穎	ei
穗	minoru
穢	kegare
穢	kitana
穣	minoru
穣	yutaka
穣	zyou
穫	ka
穫	to
穰	minoru
穰	yutaka
穰	yuzuru
穰	zyou
穴	ana
穴	ketu
究	kiwamu
空	aki
空	hirosi
空	kara
空	kuu
空	sora
窄	sema
窓	mado
窕	uturo
窖	anagura
窪	kubo
窮	kyuu
窯	kama
竃	hettui
竃	kama
竃	kamado
竈	kamado
立	ritu
立	ryuu
立	tate
立	tati
立	tatu
立	taturu
竜	ryou
竜	ryuu
竜	tatu
章	aki
章	akira
章	hazime
章	humi
章	syou
竣	syun
童	warabe
竪	tate
端	bata
端	ha
端	hana
端	hasi
端	hasita
端	hata
端	hazi
端	tadasi
端	tan
競	kei
競	kisou
競	se
竹	take
竿	sao
笈	kyuu
笈	oi
笊	zaru
笋	takanna
笏	syaku
笑	emi
笑	wara
笙	syou
笛	hue
笞	muti
笞	simoto
笠	kasa
笠	ryuu
笥	ke
符	hu
第	dai
笹	sasa
筆	hitu
筆	hude
筆	pitu
筈	hazu
等	hitosi
等	nado
等	ra
等	tou
筋	kin
筋	suzi
筍	takenoko
筏	ikada
筐	katami
筒	tou
筒	tutu
答	kotae
答	tou
策	saku
筧	kakehi
筧	kakei
筬	osa
筵	musiro
箆	hera
箍	taga
箏	sou
箒	houki
箔	haku
箕	mi
箕	mino
算	san
算	zan
箙	ebira
管	kan
管	kuda
箭	ya
箱	bako
箱	hako
箱	pako
箸	hasi
節	busi
節	husi
節	misao
節	misawo
節	setu
節	takasi
篁	takamura
篁	takasi
範	han
範	susumu
篇	ben
篇	hen
篇	pen
築	tiku
築	tuki
篝	kagari
篠	sasa
篠	sino
篤	atu
篤	atusi
篦	hera
篩	hurui
篭	kago
簀	su
簑	mino
簓	sasara
簗	yana
簡	kan
簪	kanzasi
簫	syou
簸	hi
簾	misu
簾	su
簾	sudare
簿	bo
籍	seki
籐	tou
籔	yabu
籠	kago
籤	higo
籤	kuzi
籬	magaki
籬	mase
米	amerika
米	bei
米	gome
米	kome
米	mai
米	meetoru
米	yone
籾	momi
粁	kiromeetoru
粂	kume
粃	siina
粉	ko
粉	kona
粋	iki
粋	sui
粍	mirimeetoru
粒	tubu
粕	kasu
粗	ara
粗	hobo
粗	so
粘	neba
粛	susumu
粟	awa
粢	sitogi
粥	kayu
粲	tubara
粳	uru
粳	uruti
粽	timaki
精	kiyosi
精	makoto
精	sei
精	sirage
精	tadasi
糀	kouzi
糅	kate
糊	nori
糎	senti
糎	sentimeetoru
糒	hosii
糖	tou
糞	hun
糞	kuso
糟	kasu
糠	nuka
糧	kate
糯	moti
糶	se
糸	ito
糺	tadasi
糺	tadasu
系	kei
紀	ki
紀	nori
紀	osamu
約	yaku
紅	aka
紅	beni
紅	kou
紅	kurenai
紋	aya
紋	mon
納	nau
納	osame
納	osamu
紐	himo
純	atusi
純	ito
純	kiyosi
純	makoto
純	masumi
純	sumi
純	sunao
純	zyun
紗	sya
紘	hiro
紘	hirosi
紘	kou
紙	gami
紙	kami
紙	si
級	kyuu
素	moto
素	so
素	su
素	sunao
紡	tumugi
索	saku
紫	murasaki
紫	yukari
紬	tumugi
累	rui
細	hoso
細	komaka
紲	kizuna
紳	sin
紹	syou
紺	kon
終	owa
終	owari
終	tui
絃	gen
組	gumi
組	kumi
絆	hodasi
絆	kizuna
絋	hiro
絋	kou
経	he
経	kei
経	kyou
結	musubu
結	yui
結	yuu
絖	nume
絞	sibo
絢	aya
絢	ken
絢	zyun
絣	kasuri
給	kyuu
統	mituru
統	osamu
統	tooru
絵	e
絵	nui
絶	zet
絹	kinu
絽	ro
継	tugi
継	tunaga
続	tuduki
続	tuzuki
続	zoku
綛	kase
綣	heso
維	yui
綱	tuna
網	ami
網	mou
綴	tozi
綴	tuduri
綴	tuduru
綴	tuzuri
綴	tuzuru
綺	ayaginu
綾	aya
綾	ryou
綿	men
綿	wata
緋	hi
総	husa
総	nobu
総	sou
緑	midori
緒	itoguti
緒	tyo
線	sen
締	sime
編	ben
編	hen
編	pen
緩	yuru
緬	haru
緬	karu
緯	nuki
練	neri
縁	en
縁	enisi
縁	heri
縁	huti
縁	yosuga
縁	yukari
縄	nawa
縅	odosi
縋	suga
縛	baku
縞	sima
縢	kaga
縣	agata
縦	hosiimama
縦	tate
縫	nui
縮	osamu
縮	tidimi
縮	tizimi
縹	hanada
總	satosi
績	isao
繁	sige
繁	sigeru
繋	tunagi
織	o
織	ori
繞	nyou
繪	e
繫	tunagi
繭	mayu
繰	ku
續	tuduki
續	tuzuki
纏	matoi
纒	matoi
纓	ei
纜	tomoduna
纜	tomozuna
缶	kan
罅	hibi
罐	kama
罠	wana
罪	tumi
罪	zai
罫	kei
罰	bat
罰	bati
罰	batu
署	syo
罵	nonosi
罷	maka
罹	kaka
羅	ra
羆	higuma
羊	hituzi
美	bi
美	uma
美	yo
美	yosi
群	gun
群	mure
羨	tomo
義	gi
義	tadasi
義	tutomu
義	yosi
羹	atumono
羽	ba
羽	bane
羽	ha
羽	hane
羽	pa
羽	wa
翁	ogina
翁	okina
翁	ou
翅	hane
翆	midori
翊	yoku
翌	yoku
翔	kake
翔	kakeru
翔	syou
翠	midori
翳	kage
翻	han
翻	huan
翻	kobosi
翼	tasuku
翼	tubasa
翼	yoku
耀	akaru
耀	hikari
耀	you
老	oi
老	rou
考	kou
者	mono
者	sya
耐	tai
耕	kou
耕	osamu
耕	tutomu
耳	mimi
耽	huke
聖	akira
聖	hiziri
聖	kiyosi
聖	sato
聖	satoru
聖	satosi
聖	sei
聖	syou
聖	takasi
聖	takesi
聖	tooru
聟	muko
聡	akira
聡	sato
聡	satoru
聡	satosi
聡	sou
聡	tadasi
聡	tooru
聯	ren
聰	akira
聰	sato
聰	satoru
聰	satosi
聰	sou
聴	akira
職	syoku
聾	tunbo
肇	hazime
肇	hazimu
肇	tadasi
肇	tosi
肉	niku
肋	abara
肌	hada
肌	hadae
肖	ayaka
肖	syou
肘	hizi
肚	hara
肝	kan
肝	kimo
股	ko
股	mata
股	momo
肢	si
肥	koe
肩	kata
肱	hizi
育	iku
育	ikumi
肴	sakana
肺	hai
胃	i
胆	kimo
胆	tan
背	se
背	sei
胖	yutaka
胚	hai
胡	ebisu
胡	ko
胤	in
胤	tane
胤	tugu
胴	dou
胸	mune
能	nou
脂	abura
