〆	sime
凧	dako
凧	tako
凩	kogarasi
凪	nagi
凰	kou
凰	ou
凶	kyou
凸	totu
凹	kubo
出	de
出	ide
出	iduru
出	izuru
出	syutu
函	hako
刀	gatana
刀	katana
刀	tou
刃	ha
刃	yaiba
分	bu
分	bun
分	hun
分	pun
分	waka
分	wakatu
切	ki
切	kiri
切	setu
刈	ka
刈	kari
刊	kan
刑	kei
刔	ryuu
列	retu
初	hatu
初	hazime
初	syo
初	u
初	ubu
判	ban
判	han
判	waka
別	betu
利	ri
利	togi
利	tooru
利	tosi
到	ita
到	itaru
刳	egu
刳	ku
制	sei
刷	satu
刷	suri
券	ken
刺	toge
刻	koku
剃	so
剃	su
則	nori
則	soku
則	sunawati
削	hatu
削	kezu
前	mae
前	saki
前	susumu
前	zen
剛	gan
剛	gou
剛	katasi
剛	takasi
剛	takesi
剛	tuyosi
剣	ken
剣	turugi
剤	zai
副	huku
副	soi
剰	ama
割	bari
割	pari
割	wari
創	hazime
創	motomu
創	sou
創	tuku
創	tukuru
劇	geki
劉	ryuu
劉	yu
劔	turugi
力	isamu
力	riki
力	ryoku
力	tikara
力	tutomu
力	tuyosi
功	isamu
功	isao
功	kou
功	tutomu
加	ka
加	kanada
加	kuwae
劣	retu
助	suke
助	zyo
努	tutomu
劫	kou
劭	takasi
励	hagemu
励	hazumi
励	rei
励	ri
励	tutomu
労	rou
効	kou
劼	kata
勁	tuyo
勁	tuyosi
勅	mikotonori
勇	isami
勇	isamu
勇	yan
勇	yuu
勉	masaru
勉	tutomu
勍	tuyosi
動	dou
勗	tutomu
勘	kan
務	tutomu
勝	kati
勝	katu
勝	masaru
勝	sugu
勝	sugure
勝	suguru
勝	sun
勝	syou
募	tuno
勢	ikioi
勢	sei
勢	zei
勤	tutomu
勧	susumu
勲	isamu
勲	isao
勲	isawo
勲	kun
勳	isao
勺	syaku
匁	monme
匂	kaoru
匂	nioi
包	tutumi
匏	hukube
化	hua
化	ka
北	kita
北	kitagata
北	pee
北	pei
匙	sazi
匠	syou
匠	takumi
匡	kyou
匡	masa
匡	masasi
匡	tadasi
匡	tadasu
匡	tasuku
匣	kusige
匹	biki
匹	hiki
匹	piki
区	ku
医	i
医	osamu
十	too
十	tou
十	zit
十	zyut
十	zyuu
千	sen
千	ti
千	zen
卆	sotu
升	masu
升	noboru
升	syou
午	uma
半	han
半	nakaba
卍	manzi
卒	sotu
卓	masaru
卓	suguru
卓	syoku
卓	takasi
卓	taku
協	kyou
協	tutomu
南	minami
南	nan
単	hitoe
単	tan
博	haku
博	hirosi
卜	boku
卜	uranai
卞	pyon
占	uranai
卦	ke
卦	uranai
卯	sigeru
卯	u
印	in
印	sirusi
印	zirusi
即	soku
卵	ran
卵	tamago
卸	orosi
卿	kei
卿	kyou
厄	wazawai
厄	yaku
厘	rin
厚	atu
厚	atusi
原	gen
原	hara
原	harano
原	haru
厠	kawaya
厨	kuriya
厨	tyuu
厩	umaya
厭	iya
厳	gen
厳	ika
厳	imu
厳	iwao
厳	tuyosi
去	sa
参	mai
参	san
又	mata
叉	mata
友	tomo
友	yuu
双	sou
反	han
反	kae
反	so
反	tan
収	osamu
収	syuu
取	to
叙	zyo
叡	akira
叢	kusamura
口	guti
口	kou
口	kuti
古	hisasi
古	huru
古	inisie
古	ko
句	ku
只	tada
可	ka
可	kanari
可	yo
台	dai
台	tai
台	utena
叱	sika
史	aya
史	hirosi
史	hisasi
史	hubito
史	humi
史	si
右	migi
右	susumu
右	tasuku
右	yuu
叶	kanae
叶	kanai
叶	kanou
号	gou
司	tukasa
司	tukasado
司	tutomu
叺	kamasu
吃	tii
各	kaku
合	gou
吉	kiti
吉	yosi
吊	tu
吋	inti
同	dou
名	mei
名	myou
名	na
后	kisaki
后	kou
吏	tukasa
向	kou
向	mukae
向	mukai
向	mukou
君	kimi
君	kun
吝	siwa
吟	gin
吠	hoe
否	hi
否	ina
否	iya
吭	hue
吽	un
吾	ware
呂	naga
呂	ro
呂	ryo
呈	susumu
呈	taira
呈	tei
呉	go
呉	kure
告	tuge
告	tuguru
周	amane
周	itaru
周	syuu
周	tika
呪	noroi
味	azi
味	mi
呵	sika
呷	ao
呼	ko
命	akira
命	inoti
命	mei
和	hitosi
和	izumi
和	kanou
和	kazu
和	nigi
和	wa
和	yamato
和	yasu
和	yawara
和	yori
咎	toga
咲	saki
咲	saku
咳	seki
咽	muse
咽	nodo
咽	nondo
品	bin
品	hin
品	pin
品	sina
哉	hazime
哉	kana
哉	sai
哘	sasou
員	in
哩	mairu
哮	take
哮	takeru
哲	aki
哲	akira
哲	masaru
哲	satoru
哲	satosi
哲	tetu
哲	tooru
唄	uta
唇	kutibiru
唐	tou
唖	osi
唯	tada
唯	yui
唸	una
唾	tuba
商	syou
問	mon
問	toi
啓	akira
啓	hazime
啓	hiraku
啓	hiromu
啓	hirosi
啓	kei
啓	satoru
啓	satosi
啜	susu
啞	osi
善	tadasi
善	yo
善	yosi
善	zen
喉	nodo
喋	tyou
喙	kutibasi
喜	ki
喜	yosimi
喝	katu
喩	yui
喪	mo
喬	kou
喬	kyou
喬	taka
喬	takai
喬	takasi
嗽	ugai
嘉	yo
嘉	yoi
嘉	yosi
嘉	yosimi
嘘	uso
嘱	syoku
嘲	azake
嘴	kutibasi
嘸	sazo
噂	uwasa
噓	uso
器	ki
器	utuwa
噸	ton
噺	hanasi
嚊	kakau
嚔	kusame
嚔	kusyami
嚥	en
嚴	umu
囀	saezu
囚	syuu
四	si
四	yo
四	yon
四	yot
回	kai
回	magari
回	mawa
回	megu
因	in
団	dan
団	maru
囮	otori
困	koma
図	haka
図	hakari
図	zu
固	kata
固	katasi
国	goku
国	koku
国	kuni
國	kuni
圏	ken
園	en
園	sono
圓	en
圓	madoka
圓	maru
團	dan
團	maru
土	do
土	hani
土	tuti
圧	atu
在	a
在	zai
圭	kado
圭	kei
圭	kiyosi
地	ti
地	zi
圷	akutu
址	si
坂	ban
坂	saka
坂	zaka
均	hitosi
均	kin
坊	bou
坐	suwa
坑	ana
坤	hituzisaru
坦	hirosi
坦	tan
坪	tubo
垂	side
垈	nuta
型	gata
型	kata
型	kei
垓	gai
垢	aka
垣	kaki
垰	tao
垳	gake
